customerId;name;phone;street;city;country;website
287910;Nikolaus PLC;769-148-2100;Ramiro Glens;South Arielle;South Georgia and the South Sandwich Islands;http://Tiffany.com/
191824;Jerde Group;180-279-1931;Bruen Hills;East Janyfurt;Estonia;http://www.Klein.ca/
218428;Runolfsdottir Ltd;498-772-1585;Osbaldo Run;Lake Clarissa;Nauru;http://www.Doyle.org/
206152;Effertz LLC;921-641-4638;Sylvester Tunnel;East Niko;Haiti;http://Nico.io/
210753;Wiegand PLC;514-287-7991;Hoppe Flat;West Josh;Ireland;http://Hildegard.name/
211105;Murphy and Sons;242-610-8858;Veronica Knolls;Llewellynfurt;Bouvet Island (Bouvetoya);http://www.Ortiz.io/
226298;Thompson Group;230-469-7486;Gerhold Springs;West Ernesto;Grenada;http://Lebsack.com/
381794;White Group;192-064-5664;Ruecker Squares;South Edwardostad;Cyprus;http://www.Kelvin.us/
194027;McCullough LLC;429-013-8253;Pollich Underpass;South Bethany;South Georgia and the South Sandwich Islands;http://Hilbert.biz/
315200;Gerlach PLC;796-624-2500;Jasmin Glens;Griffinville;Somalia;http://Schneider.info/
